cod_pedido,regiao_pais,produto,valor,quantidade,valor_total_bruto,data,estado,formapagto,centro_distribuicao,responsavelpedido,valor_comissao,lucro_liquido,categoriaprod
4,Norte,Biscoito  True Champion 300g,19,4.0,88,19/08/2019,Rondônia,Boleto Bancário,Rapid Pink,Yuri,"0,76","30,4",Alimentacao
6,Norte,Biscoito  True Champion 300g,19,4.0,76,19/09/2019,Roraima,Cartao Débito,Rapid Pink,Adriana,"0,76","30,4",Alimentacao
10,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,27/09/2019,Mato Grosso do  Sul,Dinheiro,Graos Blue,Ligia,"1,04","41,6",Alimentacao
11,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,8/2/2019,Distrito Federal,Dinheiro,Graos Blue,Lucia,"1,12","44,8",Alimentacao
16,Nordeste,Biscoito  True Champion 300g,22,4.0,88,27/09/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"0,88","35,2",Alimentacao
18,Sudeste,Biscoito  True Champion 300g,23,4.0,92,12/7/2019,Piauí,Cartao Débito,Gold Beach,Cristian,"0,92","36,8",Alimentacao
19,Sudeste,Biscoito  True Champion 300g,17,4.0,68,29/09/2019,Sao Paulo,Pix,Papa Léguas,Miriam,"0,68","27,2",Alimentacao
22,Sudeste,Biscoito  True Champion 300g,19,4.0,76,22/01/2019,Espírito Santo,Cartao Crédito,Papa Léguas,Tereza,"0,76","30,4",Alimentacao
23,Sul,Biscoito  True Champion 300g,16,4.0,64,31/08/2019,Paraná,Pix,Tree True,Beatriz,"0,64","25,6",Alimentacao
31,Norte,Bola Pet Vinil Big Blue,21,71.0,1491,21/12/2019,Roraima,Cartao Débito,Rapid Pink,Adriana,"14,91","596,4",Brinquedo
34,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,15/12/2019,Mato Grosso,Pix,Graos Blue,Andressa,"0,76","30,4",Brinquedo
41,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,8/5/2019,Paraíba,Cartao Crédito,Gold Beach,Cristina,"0,88","35,2",Brinquedo
